epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
53,40960.4,0.49822,0.62088,0.31581,0.79868,0.99241,0.98213,0.99215,0.93143,0.97523,0.95921,0.97741,0.58188,0.38811,0.66834,0.25054,0.78372,0.008284,0.008284,0.008284
54,41725.7,0.49647,0.62809,0.31402,0.79956,0.99329,0.9829,0.99261,0.9353,0.97189,0.95693,0.97102,0.57874,0.38126,0.70152,0.24681,0.78324,0.008251,0.008251,0.008251
55,42485.6,0.48834,0.60315,0.30969,0.79616,0.99365,0.98156,0.99309,0.93548,0.97531,0.95517,0.97584,0.58924,0.38942,0.69552,0.24927,0.78379,0.008218,0.008218,0.008218
56,43303.2,0.48724,0.60621,0.31014,0.79668,0.99218,0.98375,0.99262,0.93519,0.97528,0.957,0.97575,0.58702,0.37883,0.6833,0.24453,0.78318,0.008185,0.008185,0.008185
57,44072.3,0.49007,0.61672,0.30915,0.79762,0.99311,0.98268,0.99343,0.9354,0.97139,0.95937,0.97649,0.58529,0.38367,0.69333,0.24603,0.78381,0.008152,0.008152,0.008152
58,44842,0.48731,0.61805,0.30943,0.79655,0.99422,0.98294,0.99344,0.93766,0.97304,0.95971,0.97605,0.5909,0.38659,0.70473,0.24645,0.78409,0.008119,0.008119,0.008119
59,45611.4,0.48661,0.61156,0.30784,0.79404,0.99523,0.98115,0.99299,0.93594,0.97697,0.96083,0.97776,0.58991,0.38023,0.68928,0.24305,0.78393,0.008086,0.008086,0.008086
60,46379.1,0.48464,0.6098,0.30789,0.79675,0.99342,0.98174,0.99272,0.93496,0.97355,0.96117,0.97686,0.58722,0.38194,0.70604,0.24456,0.78333,0.008053,0.008053,0.008053
61,47143.3,0.4841,0.60866,0.30731,0.79693,0.99638,0.98175,0.99302,0.93806,0.9754,0.96105,0.9771,0.59426,0.38014,0.70225,0.24224,0.78418,0.00802,0.00802,0.00802
62,47909.5,0.48189,0.605,0.30729,0.79669,0.99524,0.98363,0.99305,0.93822,0.97315,0.95844,0.97675,0.59197,0.37705,0.70655,0.23873,0.7835,0.007987,0.007987,0.007987
63,48731.5,0.48302,0.60475,0.30516,0.79656,0.9954,0.98315,0.99287,0.93816,0.97097,0.95658,0.97133,0.58254,0.37546,0.70051,0.23961,0.78285,0.007954,0.007954,0.007954
64,49510.3,0.48166,0.594,0.30338,0.79634,0.99468,0.98237,0.99307,0.94057,0.97562,0.95911,0.97674,0.58912,0.37289,0.69219,0.23915,0.78297,0.007921,0.007921,0.007921
65,50295.7,0.47722,0.59934,0.30445,0.79428,0.99492,0.98293,0.99304,0.94167,0.97755,0.96085,0.978,0.59084,0.36631,0.6617,0.23737,0.78219,0.007888,0.007888,0.007888
66,51056.6,0.47859,0.60949,0.303,0.79691,0.99556,0.98364,0.99281,0.9412,0.97569,0.96314,0.97692,0.58602,0.36836,0.66001,0.23868,0.78196,0.007855,0.007855,0.007855
67,51824.6,0.47089,0.58161,0.29977,0.79443,0.99411,0.98398,0.99316,0.93799,0.97356,0.96025,0.97729,0.59307,0.37329,0.68618,0.23691,0.78312,0.007822,0.007822,0.007822
